"nama","partai","kota_lahir","kota_terkait"
"Anies Baswedan","Partai Republik",,"Jakarta"
"Anies Baswedan","Partai Republik",,"Yogyakarta"
"Arief Budiman",,,
"Ayu Utami",,"Bogor","Jakarta"
"Ayu Utami",,"Bogor","Bogor"
"Azyumardi Azra",,"Lubuk Alung, Padang Pariaman","Bandung"
"Budiman Sudjatmiko","Partai Demokrasi Indonesia",,"Cilacap"
"Budiman Sudjatmiko","Partai Rakyat Demokratik",,"Cilacap"
"Dita Indah Sari","Partai Rakyat Demokratik",,"Medan"
"Dita Indah Sari","Partai Rakyat Demokratik",,"Jakarta"
"Dita Indah Sari","Partai Rakyat Demokratik",,"Malang"
"Dita Indah Sari","Partai Rakyat Demokratik",,"Surabaya"
"Dita Indah Sari","Partai Rakyat Demokratik",,"Bogor"
"Dita Indah Sari","Partai Rakyat Demokratik",,"Tangerang"
"George Junus Aditjondro","Partai Demokrat (indonesia)","Pekalongan","Pekalongan"
"Harry Roesli",,"Bandung","Ambon"
"Harry Roesli",,"Bandung","Bandung"
"Komaruddin Hidayat",,"Magelang","Jakarta"
"Komaruddin Hidayat",,"Magelang","Magelang"
"Marco Kartodikromo",,,"Bandung"
"Marco Kartodikromo",,,"Semarang"
"Marco Kartodikromo",,,"Surakarta"
"Marsinah",,,"Jakarta"
"Marsinah",,,"Surabaya"
"Marsinah",,,"Sidoarjo"
"Marsinah",,,"Nganjuk"
"Munir Said Thalib",,"Malang","Batu"
"Munir Said Thalib",,"Malang","Jakarta"
"Munir Said Thalib",,"Malang","Malang"
"Munir Said Thalib",,"Malang","Pasuruan"
"Munir Said Thalib",,"Malang","Sidoarjo"
"Fuad Muhammad Syafruddin",,,"Yogyakarta"
"Fuad Muhammad Syafruddin",,,"Bantul"
"Ratna Sarumpaet","Partai Amanat Nasional","Tarutung, Tapanuli Utara","Bandar Lampung"
"Ratna Sarumpaet","Partai Amanat Nasional","Tarutung, Tapanuli Utara","Bandung"
"Ratna Sarumpaet","Partai Amanat Nasional","Tarutung, Tapanuli Utara","Surabaya"
"Ratna Sarumpaet","Partai Amanat Nasional","Tarutung, Tapanuli Utara","Ambon"
"Ratna Sarumpaet","Partai Amanat Nasional","Tarutung, Tapanuli Utara","Tangerang"
"Ratna Sarumpaet","Partai Amanat Nasional","Tarutung, Tapanuli Utara","Bekasi"
"Ratna Sarumpaet","Partai Persatuan Pembangunan","Tarutung, Tapanuli Utara","Bandar Lampung"
"Ratna Sarumpaet","Partai Persatuan Pembangunan","Tarutung, Tapanuli Utara","Bandung"
"Ratna Sarumpaet","Partai Persatuan Pembangunan","Tarutung, Tapanuli Utara","Surabaya"
"Ratna Sarumpaet","Partai Persatuan Pembangunan","Tarutung, Tapanuli Utara","Ambon"
"Ratna Sarumpaet","Partai Persatuan Pembangunan","Tarutung, Tapanuli Utara","Tangerang"
"Ratna Sarumpaet","Partai Persatuan Pembangunan","Tarutung, Tapanuli Utara","Bekasi"
"Ignatius Sandyawan Sumardi","Partai Rakyat Demokratik","Jeneponto","Makassar"
"Ignatius Sandyawan Sumardi","Partai Rakyat Demokratik","Jeneponto","Magelang"
"Ignatius Sandyawan Sumardi","Partai Rakyat Demokratik","Jeneponto","Kendal"
"Ignatius Sandyawan Sumardi","Partai Rakyat Demokratik","Jeneponto","Banjarnegara"
"Satrio Arismunandar",,,"Semarang"
"Satrio Arismunandar",,,"Jakarta"
"Satrio Arismunandar",,,"Yogyakarta"
"Satrio Arismunandar",,,"Jakarta Timur"
"Soe Hok Gie",,"Jakarta","Jakarta"
"Soe Hok Gie",,"Jakarta","Bandung"
"Soe Hok Gie",,"Jakarta","Madiun"
"Theys Hiyo Eluay",,"Sereh, Sentani, Jayapura","Jayapura"
"Wardah Hafidz",,,"Yogyakarta"
"Widji Thukul",,,"Jakarta"
"Widji Thukul",,,"Surakarta"
"Widji Thukul",,,"Ngawi"
"Y. B. Mangunwijaya",,"Ambarawa","Semarang"
"Y. B. Mangunwijaya",,"Ambarawa","Kotabaru"
"Y. B. Mangunwijaya",,"Ambarawa","Jakarta"
"Y. B. Mangunwijaya",,"Ambarawa","Malang"
"Y. B. Mangunwijaya",,"Ambarawa","Yogyakarta"
"Y. B. Mangunwijaya",,"Ambarawa","Magelang"
"Yosepha Alomang",,,
"Yap Yun Hap",,,"Jakarta"
"Yap Yun Hap",,,"Jakarta Timur"
"Hendriawan Sie",,,"Jakarta"
"Hendriawan Sie",,,"Balikpapan"
"Liem Soei Liong",,,
"A. Patra M. Zen",,,"Jakarta"
"A. Patra M. Zen",,,"Palembang"
"A. Patra M. Zen",,,"Banda Aceh"
"Franky Sahilatua",,"Surabaya","Jakarta"
"Franky Sahilatua",,"Surabaya","Surabaya"
"Maria Catarina Sumarsih",,,"Jakarta"
"Maria Catarina Sumarsih",,,"Jakarta Barat"
"Maria Catarina Sumarsih",,,"Salatiga"
"Moses Gatutkaca",,,"Banjarmasin"
"Moses Gatutkaca",,,"Yogyakarta"
"Gadis Arivia",,"New Delhi","Jakarta"
"Ahmad Hambali",,,"Makassar"
"Ahmad Hambali",,,"Bandung"
"Ahmad Hambali",,,"Palembang"
"Ahmad Hambali",,,"Surabaya"
"Ahmad Hambali",,,"Garut"
